Genome,brasiliense_clade,virulent_Pbrasiliense,assay_FN,assay_TP_vs_Pbr,assay_TP_vs_avirulent_Pbr,assay_FN_vs_TP,NL_Pbr_vs_Pbr,polaris_clade,polaris_outlier_cmp,parvum_clade,quasiaquaticum_clade,aquaticum_clade,versatile_clade,versatile_clade2,carotovorum_clade,carotovorum_outlier_cmp,odoriferum_clade,actinidiae_clade,aroidearum_clade,new_species_clade,new_species_vs_aroidearum,parmentieri_clade,wasabiae_clade,punjabense_clade,polonicum_clade,atrosepticum_clade,peruviense_clade,zantedeschiae_clade,betavasculorum_clade,cacticida_genome,fontis_genome,carotovorum_outlier,colocasium_genome
1,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,carotovorum_clade,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
2,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,aroidearum_clade,N,N,N,N,N,N,N,N,N,N,N,N,N,N
3,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,aroidearum_clade,N,N,N,N,N,N,N,N,N,N,N,N,N,N
4,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,aroidearum_clade,N,N,N,N,N,N,N,N,N,N,N,N,N,N
5,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,aroidearum_clade,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,aroidearum_clade,N,N,N,N,N,N,N,N,N,N,N,N,N,N
7,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,aroidearum_clade,N,N,N,N,N,N,N,N,N,N,N,N,N,N
8,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,aroidearum_clade,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,aroidearum_clade,N,N,N,N,N,N,N,N,N,N,N,N,N,N
10,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,aroidearum_clade,N,N,N,N,N,N,N,N,N,N,N,N,N,N
11,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,carotovorum_clade,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
12,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
13,brasiliense_clade,virulent_Pbrasiliense,N,assay_TP_vs_Pbr,assay_TP_vs_avirulent_Pbr,N,NL_Pbr_vs_Pbr,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
14,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,polonicum_clade,N,N,N,N,N,N,N,N
15,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,carotovorum_outlier_cmp,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,carotovorum_outlier,N
16,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,carotovorum_clade,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
17,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,odoriferum_clade,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
18,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
19,N,NA,NA,NA,NA,NA,NA,N,NA,parvum_clade,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
20,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,actinidiae_clade,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
21,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,punjabense_clade,N,N,N,N,N,N,N,N,N
22,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,carotovorum_clade,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
23,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,odoriferum_clade,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
24,brasiliense_clade,N,N,N,N,NA,NL_Pbr_vs_Pbr,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
25,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,aroidearum_clade,N,N,N,N,N,N,N,N,N,N,N,N,N,N
26,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,carotovorum_clade,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
27,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,atrosepticum_clade,N,N,N,N,N,N,N
28,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
29,brasiliense_clade,N,N,N,N,NA,NL_Pbr_vs_Pbr,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
30,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
31,N,NA,NA,NA,NA,NA,NA,N,NA,N,quasiaquaticum_clade,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
32,N,NA,NA,NA,NA,NA,NA,N,NA,N,quasiaquaticum_clade,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
33,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
34,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
35,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,parmentieri_clade,N,N,N,N,N,N,N,N,N,N,N
36,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
37,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
38,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,parmentieri_clade,N,N,N,N,N,N,N,N,N,N,N
39,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
40,N,NA,NA,NA,NA,NA,NA,polaris_clade,N,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
41,N,NA,NA,NA,NA,NA,NA,polaris_clade,N,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
42,brasiliense_clade,N,N,N,N,NA,N,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
43,brasiliense_clade,N,N,N,N,NA,N,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
44,N,NA,NA,NA,NA,NA,NA,polaris_clade,N,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
45,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
46,N,NA,NA,NA,NA,NA,NA,polaris_clade,N,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
47,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
48,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
49,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
50,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,atrosepticum_clade,N,N,N,N,N,N,N
51,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,atrosepticum_clade,N,N,N,N,N,N,N
52,brasiliense_clade,N,N,N,N,NA,NL_Pbr_vs_Pbr,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
53,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
54,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,aquaticum_clade,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
55,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,atrosepticum_clade,N,N,N,N,N,N,N
56,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,carotovorum_clade,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
57,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,carotovorum_clade,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
58,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,odoriferum_clade,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
59,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
60,brasiliense_clade,N,N,N,N,NA,NL_Pbr_vs_Pbr,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
61,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,carotovorum_clade,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
62,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
63,brasiliense_clade,virulent_Pbrasiliense,N,assay_TP_vs_Pbr,assay_TP_vs_avirulent_Pbr,N,NL_Pbr_vs_Pbr,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
64,brasiliense_clade,N,N,N,N,NA,N,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
65,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,N,N,N,NA,N,N,N,N,NA,N,N,punjabense_clade,N,N,N,N,N,N,N,N,N
66,N,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,versatile_clade,versatile_clade2,N,NA,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N
