SpeciesName	count	genomes
P_brasiliense	138	13,24,29,42,43,52,60,63,64,74,97,99,108,109,111,114,115,134,136,137,138,140,141,142,144,145,146,147,148,149,152,153,154,155,156,157,158,159,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,185,187,188,189,190,191,192,193,194,195,196,214,236,240,242,243,263,297,299,302,307,308,316,317,337,340,341,342,345,352,353,356,357,358,359,360,364,366,367,368,369,370,371,372,373,379,380,390,391,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,426,427,429,433,438,439
P_versatile	93	12,18,28,30,33,34,36,37,39,45,47,48,49,53,59,62,66,67,68,69,70,71,72,73,75,76,77,78,80,81,82,83,84,85,86,87,88,89,90,91,95,100,101,104,107,110,112,113,118,119,120,126,127,128,129,130,131,132,133,150,184,186,201,216,224,237,238,239,245,267,268,269,270,271,272,276,282,295,298,301,303,304,310,313,315,318,319,320,321,424,436,447,448
P_parmentieri	37	35,38,139,197,203,204,205,206,207,208,209,210,211,212,213,215,261,274,284,285,286,287,288,289,290,291,292,293,294,309,347,350,376,393,394,430,452
P_carotovorum	33	1,11,15,16,22,26,56,57,61,93,98,102,106,198,199,202,225,233,241,244,246,247,262,264,296,346,354,361,362,363,365,388,420
P_aroidearum	29	2,3,4,5,6,7,8,9,10,25,117,135,217,218,226,227,228,229,230,231,232,235,395,425,435,437,441,445,450
P_polaris	25	40,41,44,46,79,103,105,121,122,151,160,251,252,253,254,255,275,300,312,338,339,349,443,446,454
P_odoriferum	21	17,23,58,234,323,324,325,326,327,328,329,330,331,332,333,334,377,378,422,432,434
P_atrosepticum	16	27,50,51,55,124,200,283,311,322,336,348,382,385,389,392,396
P_parvum	10	19,94,249,250,257,258,259,260,384,453
P_punjabense	9	21,65,92,123,125,143,256,314,428
P_quasiaquaticum	8	31,32,183,219,220,221,222,223
P_aquaticum	7	54,96,277,278,279,280,281
P_actinidiae	5	20,343,344,374,449
P_c_subsp_carotovorum	4	421,431,442,444
P_peruviense	4	305,306,335,355
P_polonicum	3	14,265,423
P_wasabiae	3	351,381,387
P_zantedeschiae	3	266,273,440
P_betavasculorum	2	383,386
P_cacticida	1	451
P_colocasium	1	116
P_fontis	1	375
Pectobacterium_sp_CFBP8739	1	248
