Genome	sampleId
1	GCF_024506455.1_ASM2450645v1
2	GCF_024498875.1_ASM2449887v1
3	GCF_024498855.1_ASM2449885v1
4	GCF_024498835.1_ASM2449883v1
5	GCF_024498815.1_ASM2449881v1
6	GCF_024498775.1_ASM2449877v1
7	GCF_024498755.1_ASM2449875v1
8	GCF_024498735.1_ASM2449873v1
9	GCF_024498715.1_ASM2449871v1
10	GCF_024498675.1_ASM2449867v1
11	GCA_024343715.1_ASM2434371v1
12	GCA_024343685.1_ASM2434368v1
13	GCA_024343655.1_ASM2434365v1
14	GCA_024343625.1_ASM2434362v1
15	GCA_024343595.1_ASM2434359v1
16	GCA_024343495.1_ASM2434349v1
17	GCA_024343475.1_ASM2434347v1
18	GCA_024343445.1_ASM2434344v1
19	GCA_024343355.1_ASM2434335v1
20	GCA_024343335.1_ASM2434333v1
21	GCA_024343295.1_ASM2434329v1
22	GCA_024343235.1_ASM2434323v1
23	GCA_024343135.1_ASM2434313v1
24	GCA_024343095.1_ASM2434309v1
25	GCA_024343035.1_ASM2434303v1
26	GCA_024342945.1_ASM2434294v1
27	GCA_024342865.1_ASM2434286v1
28	GCA_024342805.1_ASM2434280v1
29	GCA_024342785.1_ASM2434278v1
30	GCF_023914135.1_ASM2391413v1
31	GCF_014946825.2_ASM1494682v2
32	GCF_014946775.2_ASM1494677v2
33	GCF_023508155.1_ASM2350815v1
34	GCF_023508145.1_ASM2350814v1
35	GCF_023508125.1_ASM2350812v1
36	GCF_023508105.1_ASM2350810v1
37	GCF_023508055.1_ASM2350805v1
38	GCF_023508065.1_ASM2350806v1
39	GCF_023508045.1_ASM2350804v1
40	GCF_023508025.1_ASM2350802v1
41	GCF_023508005.1_ASM2350800v1
42	GCF_023507985.1_ASM2350798v1
43	GCF_023507945.1_ASM2350794v1
44	GCF_023507955.1_ASM2350795v1
45	GCF_023507925.1_ASM2350792v1
46	GCF_023507905.1_ASM2350790v1
47	GCF_023507885.1_ASM2350788v1
48	GCF_023507845.1_ASM2350784v1
49	GCF_023507825.1_ASM2350782v1
50	GCF_023507805.1_ASM2350780v1
51	GCF_023507725.1_ASM2350772v1
52	GCF_023272715.1_ASM2327271v1
53	GCF_922035905.1_Pectobacterium_versatile_C11
54	GCF_022507345.1_ASM2250734v1
55	GCF_022507325.1_ASM2250732v1
56	GCF_022507285.1_ASM2250728v1
57	GCF_022507295.1_ASM2250729v1
58	GCF_022507245.1_ASM2250724v1
59	GCF_022507255.1_ASM2250725v1
60	GCF_022507225.1_ASM2250722v1
61	GCF_022392805.1_ASM2239280v1
62	GCF_022392325.1_ASM2239232v1
63	GCF_022220705.1_ASM2222070v1
64	GCF_022172285.1_ASM2217228v1
65	GCF_021432585.1_ASM2143258v1
66	GCF_922011625.1_Pectobacterium_versatile_A56-GEAM-M15
67	GCF_922013345.1_Pectobacterium_versatile_LMG2424
68	GCF_922011735.1_Pectobacterium_versatile_A550-S10-A17
69	GCF_922030705.1_Pectobacterium_versatile_LMG2411
70	GCF_922011655.1_Pectobacterium_versatile_CFBP7359.1
71	GCF_922013315.1_Pectobacterium_versatile_LMG2412
72	GCF_922011615.1_Pectobacterium_versatile_A139-S21-M15
73	GCF_922022605.1_Pectobacterium_versatile_A619-S1-N17
74	GCF_922014665.1_Pectobacterium_brasiliense_LMG2407
75	GCF_922013215.1_Pectobacterium_versatile_A222-S6-N16
76	GCF_922016725.1_Pectobacterium_versatile_A155-S5-M16
77	GCF_922019785.1_Pectobacterium_versatile_A82-S18-O15
78	GCF_922031085.1_Pectobacterium_versatile_A197-S18-M16
79	GCF_922037565.1_Pectobacterium_polaris_LMG2406
80	GCF_922021645.1_Pectobacterium_versatile_LMG2413
81	GCF_922021985.1_Pectobacterium_versatile_A167-S22-M16
