BioSampleAccn	AssemblyAccession	AssemblyName	Genbank	RefSeq
SAMN15660297	GCA_016950115.1	ASM1695011v1	GCA_016950115.1	
SAMN15660276	GCF_016944235.1	ASM1694423v1	GCA_016944235.1	GCF_016944235.1
SAMN15660313	GCF_016944255.1	ASM1694425v1	GCA_016944255.1	GCF_016944255.1
SAMN15660298	GCF_016944275.1	ASM1694427v1	GCA_016944275.1	GCF_016944275.1
SAMN15660296	GCF_016944295.1	ASM1694429v1	GCA_016944295.1	GCF_016944295.1
SAMN15660315	GCF_016944315.1	ASM1694431v1	GCA_016944315.1	GCF_016944315.1
SAMN15660312	GCF_016944435.1	ASM1694443v1	GCA_016944435.1	GCF_016944435.1
SAMN15660314	GCF_016944555.1	ASM1694455v1	GCA_016944555.1	GCF_016944555.1
SAMN15660291	GCF_016944595.1	ASM1694459v1	GCA_016944595.1	GCF_016944595.1
SAMN15660289	GCF_016944615.1	ASM1694461v1	GCA_016944615.1	GCF_016944615.1
SAMN15660319	GCF_016949035.1	ASM1694903v1	GCA_016949035.1	GCF_016949035.1
SAMN15660287	GCF_016949055.1	ASM1694905v1	GCA_016949055.1	GCF_016949055.1
SAMN15660318	GCF_016949075.1	ASM1694907v1	GCA_016949075.1	GCF_016949075.1
SAMN15660286	GCF_016949085.1	ASM1694908v1	GCA_016949085.1	GCF_016949085.1
SAMN15660288	GCF_016949095.1	ASM1694909v1	GCA_016949095.1	GCF_016949095.1
SAMN15660283	GCF_016949135.1	ASM1694913v1	GCA_016949135.1	GCF_016949135.1
SAMN15660281	GCF_016949145.1	ASM1694914v1	GCA_016949145.1	GCF_016949145.1
SAMN15660285	GCF_016949155.1	ASM1694915v1	GCA_016949155.1	GCF_016949155.1
SAMN15660284	GCF_016949195.1	ASM1694919v1	GCA_016949195.1	GCF_016949195.1
SAMN15660282	GCF_016949215.1	ASM1694921v1	GCA_016949215.1	GCF_016949215.1
SAMN15660279	GCF_016949235.1	ASM1694923v1	GCA_016949235.1	GCF_016949235.1
SAMN15660277	GCF_016949255.1	ASM1694925v1	GCA_016949255.1	GCF_016949255.1
SAMN15660280	GCF_016949275.1	ASM1694927v1	GCA_016949275.1	GCF_016949275.1
SAMN15660273	GCF_016949295.1	ASM1694929v1	GCA_016949295.1	GCF_016949295.1
SAMN15660274	GCF_016949315.1	ASM1694931v1	GCA_016949315.1	GCF_016949315.1
SAMN15660275	GCF_016949335.1	ASM1694933v1	GCA_016949335.1	GCF_016949335.1
SAMN15660272	GCF_016949345.1	ASM1694934v1	GCA_016949345.1	GCF_016949345.1
SAMN15660271	GCF_016949355.1	ASM1694935v1	GCA_016949355.1	GCF_016949355.1
SAMN15660321	GCF_016949375.1	ASM1694937v1	GCA_016949375.1	GCF_016949375.1
SAMN15660294	GCF_016949435.1	ASM1694943v1	GCA_016949435.1	GCF_016949435.1
SAMN15660278	GCF_016949515.1	ASM1694951v1	GCA_016949515.1	GCF_016949515.1
SAMN15660290	GCF_016949525.1	ASM1694952v1	GCA_016949525.1	GCF_016949525.1
SAMN15660293	GCF_016949545.1	ASM1694954v1	GCA_016949545.1	GCF_016949545.1
SAMN15660292	GCF_016949595.1	ASM1694959v1	GCA_016949595.1	GCF_016949595.1
SAMN15660311	GCF_016949655.1	ASM1694965v1	GCA_016949655.1	GCF_016949655.1
SAMN15660309	GCF_016949695.1	ASM1694969v1	GCA_016949695.1	GCF_016949695.1
SAMN15660310	GCF_016949705.1	ASM1694970v1	GCA_016949705.1	GCF_016949705.1
SAMN15660308	GCF_016949735.1	ASM1694973v1	GCA_016949735.1	GCF_016949735.1
SAMN15660303	GCF_016949775.1	ASM1694977v1	GCA_016949775.1	GCF_016949775.1
SAMN15660307	GCF_016949795.1	ASM1694979v1	GCA_016949795.1	GCF_016949795.1
SAMN15660300	GCF_016949835.1	ASM1694983v1	GCA_016949835.1	GCF_016949835.1
SAMN15660301	GCF_016949855.1	ASM1694985v1	GCA_016949855.1	GCF_016949855.1
SAMN15660302	GCF_016949875.1	ASM1694987v1	GCA_016949875.1	GCF_016949875.1
SAMN15660299	GCF_016949885.1	ASM1694988v1	GCA_016949885.1	GCF_016949885.1
SAMN15660305	GCF_016949915.1	ASM1694991v1	GCA_016949915.1	GCF_016949915.1
SAMN15660331	GCF_016949935.1	ASM1694993v1	GCA_016949935.1	GCF_016949935.1
SAMN15660332	GCF_016949955.1	ASM1694995v1	GCA_016949955.1	GCF_016949955.1
SAMN15660316	GCF_016949975.1	ASM1694997v1	GCA_016949975.1	GCF_016949975.1
SAMN15660295	GCF_016949995.1	ASM1694999v1	GCA_016949995.1	GCF_016949995.1
SAMN15660304	GCF_016950015.1	ASM1695001v1	GCA_016950015.1	GCF_016950015.1
SAMN15660317	GCF_016950075.1	ASM1695007v1	GCA_016950075.1	GCF_016950075.1
SAMN15660306	GCF_016950085.1	ASM1695008v1	GCA_016950085.1	GCF_016950085.1
SAMN15660322	GCF_016950125.1	ASM1695012v1	GCA_016950125.1	GCF_016950125.1
SAMN15660270	GCF_016950155.1	ASM1695015v1	GCA_016950155.1	GCF_016950155.1
SAMN15660326	GCF_016950175.1	ASM1695017v1	GCA_016950175.1	GCF_016950175.1
SAMN15660327	GCF_016950185.1	ASM1695018v1	GCA_016950185.1	GCF_016950185.1
