sampleId	taxonomy_check_method	taxonomy_check_status_inhouse	taxonomy_corrected	new_species_name
GCF_016949085.1_ASM1694908v1	inhouse_fastANI	Failed	renamed	Pectobacterium quasiaquaticum
GCF_013449715.1_ASM1344971v1	inhouse_fastANI	OK	corrected	NA
GCF_013913555.1_ASM1391355v1	inhouse_fastANI	OK	corrected	NA
GCF_013913585.1_ASM1391358v1	inhouse_fastANI	OK	corrected	NA
GCF_013913595.1_ASM1391359v1	inhouse_fastANI	OK	corrected	NA
GCF_013913605.1_ASM1391360v1	inhouse_fastANI	OK	corrected	NA
GCF_013913645.1_ASM1391364v1	inhouse_fastANI	OK	corrected	NA
GCF_014042225.1_ASM1404222v1	inhouse_fastANI	OK	corrected	NA
GCF_014050115.1_ASM1405011v1	inhouse_fastANI	OK	corrected	NA
GCF_015689195.1_ASM1568919v1	inhouse_fastANI	OK	corrected	NA
GCF_020181375.1_ASM2018137v1	inhouse_fastANI	OK	corrected	NA
GCF_024498675.1_ASM2449867v1	inhouse_fastANI	OK	corrected	NA
GCF_024498695.1_ASM2449869v1	inhouse_fastANI	OK	corrected	NA
GCF_024498715.1_ASM2449871v1	inhouse_fastANI	OK	corrected	NA
GCF_024498735.1_ASM2449873v1	inhouse_fastANI	OK	corrected	NA
GCF_024498755.1_ASM2449875v1	inhouse_fastANI	OK	corrected	NA
GCF_024498775.1_ASM2449877v1	inhouse_fastANI	OK	corrected	NA
GCF_024498795.1_ASM2449879v1	inhouse_fastANI	OK	corrected	NA
GCF_024498815.1_ASM2449881v1	inhouse_fastANI	OK	corrected	NA
GCF_024498835.1_ASM2449883v1	inhouse_fastANI	OK	corrected	NA
GCF_024498855.1_ASM2449885v1	inhouse_fastANI	OK	corrected	NA
GCF_024498875.1_ASM2449887v1	inhouse_fastANI	OK	corrected	NA
GCF_023508055.1_ASM2350805v1	NCBI_ANI	Failed	renamed	Pectobacterium versatile
GCF_000738125.1_ASM73812v1	NCBI_ANI	Inconclusive	corrected	NA
GCF_013449685.1_ASM1344968v1	NCBI_ANI	Inconclusive	corrected	NA
