Genome,genomeId,sampleId,sampleName,AssemblyAccession,AssemblyName,SpeciesName,taxonomy_check_status,strain,virulence,virulence_pcr,geo_loc_country,continent,host,isolation_source,collection_year,collected_by,env_broad_scale,type_material,source,representative_status,sample_type,length,N50,L50,n_contigs,nodepath.ani_upgma,nodepath.ani_nj,nodepath.kmer_upgma,nodepath.kmer_nj,nodepath.core_snp_ml
1,g_1,GCF_024506455.1_ASM2450645v1,GCF_024506455.1,GCF_024506455.1,ASM2450645v1,P. carotovorum,OK,21TX0081,NA,NA,United States,North America,NA,Onion,2021,Manzeal Khanal,NA,NA,NCBI,NA,NA,4826772,493670,4,25,n1;n2;n3;n4;n5;n6;n194;n195;n196;n289;n290;n291;n292;n293;g_1,n1;n453;n180;n179;n28;n29;n30;n145;n146;n147;n148;n149;n150;n160;g_1,n1;n2;n3;n4;n5;n6;n7;n195;n196;n289;n290;n291;n292;n302;g_1,n1;n453;n252;n199;n198;n197;n9;n8;n315;n316;n317;n318;n319;n329;g_1,n1;n453;n13;n12;n11;n10;n9;n8;n7;n6;n5;n4;n3;n2;g_1
2,g_2,GCF_024498875.1_ASM2449887v1,GCF_024498875.1,GCF_024498875.1,ASM2449887v1,P. aroidearum,corrected,QJ002,NA,NA,China,Asia,Amorphophallus konjac,NA,2020,NA,NA,NA,NCBI,NA,pure culture,4975218,4975218,1,1,n1;n2;n3;n4;n343;n344;n345;n346;n358;n363;n364;n365;n366;g_2,n1;n453;n180;n179;n258;n259;n260;n261;n273;n274;n275;n276;g_2,n1;n2;n3;n4;n5;n344;n345;n346;n347;n348;n360;n365;n366;n367;n368;g_2,n1;n453;n252;n199;n198;n277;n278;n279;n280;n281;n293;n294;n299;n300;n301;g_2,n1;n453;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;g_2
3,g_3,GCF_024498855.1_ASM2449885v1,GCF_024498855.1,GCF_024498855.1,ASM2449885v1,P. aroidearum,corrected,QJ003,NA,NA,China,Asia,Amorphophallus konjac,NA,2020,NA,NA,NA,NCBI,NA,pure culture,5057072,5057072,1,1,n1;n2;n3;n4;n343;n344;n345;n346;n358;n363;n364;n365;g_3,n1;n453;n180;n179;n258;n259;n260;n261;n273;n274;n275;n276;n277;g_3,n1;n2;n3;n4;n5;n344;n345;n346;n347;n348;n360;n365;n366;n367;g_3,n1;n453;n252;n199;n198;n277;n278;n279;n280;n281;n293;n294;n299;n300;g_3,n1;n453;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;g_3
4,g_4,GCF_024498835.1_ASM2449883v1,GCF_024498835.1,GCF_024498835.1,ASM2449883v1,P. aroidearum,corrected,QJ011,NA,NA,China,Asia,Amorphophallus konjac,NA,2020,NA,NA,NA,NCBI,NA,pure culture,5044175,5044175,1,1,n1;n2;n3;n4;n343;n344;n345;n346;n358;n363;n364;n365;n366;g_4,n1;n453;n180;n179;n258;n259;n260;n261;n273;n274;n275;n276;n277;g_4,n1;n2;n3;n4;n5;n344;n345;n346;n347;n348;n360;n365;n366;n367;n368;g_4,n1;n453;n252;n199;n198;n277;n278;n279;n280;n281;n293;n294;n299;n300;n301;g_4,n1;n453;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;n23;n24;g_4
5,g_5,GCF_024498815.1_ASM2449881v1,GCF_024498815.1,GCF_024498815.1,ASM2449881v1,P. aroidearum,corrected,QJ034,NA,NA,China,Asia,Amorphophallus konjac,NA,2019,NA,NA,NA,NCBI,NA,pure culture,4889365,4889365,1,1,n1;n2;n3;n4;n343;n344;n345;n346;n347;n348;n349;n350;n351;n352;g_5,n1;n453;n180;n179;n258;n259;n260;n261;n262;n263;n264;n265;n266;n267;g_5,n1;n2;n3;n4;n5;n344;n345;n346;n347;n348;n349;n350;n351;n352;n353;n354;n355;g_5,n1;n453;n252;n199;n198;n277;n278;n279;n280;n281;n282;n283;n284;n285;n286;n287;n288;n289;g_5,n1;n453;n13;n14;n15;n16;n17;n18;n19;n20;n25;n26;n27;n28;n29;n30;g_5
6,g_6,GCF_024498775.1_ASM2449877v1,GCF_024498775.1,GCF_024498775.1,ASM2449877v1,P. aroidearum,corrected,QJ311,NA,NA,China,Asia,Amorphophallus konjac,NA,2019,NA,NA,NA,NCBI,NA,pure culture,4907098,4907098,1,1,n1;n2;n3;n4;n343;n344;n345;n346;n358;n363;n364;g_6,n1;n453;n180;n179;n258;n259;n260;n261;n273;n274;n275;g_6,n1;n2;n3;n4;n5;n344;n345;n346;n347;n348;n360;n365;n366;g_6,n1;n453;n252;n199;n198;n277;n278;n279;n280;n281;n293;n294;n299;g_6,n1;n453;n13;n14;n15;n16;n17;n18;n19;n20;n21;n22;g_6
7,g_7,GCF_024498755.1_ASM2449875v1,GCF_024498755.1,GCF_024498755.1,ASM2449875v1,P. aroidearum,corrected,QJ313,NA,NA,China,Asia,Amorphophallus konjac,NA,2019,NA,NA,NA,NCBI,NA,pure culture,4889381,4889381,1,1,n1;n2;n3;n4;n343;n344;n345;n346;n347;n348;n349;n350;n351;n352;g_7,n1;n453;n180;n179;n258;n259;n260;n261;n262;n263;n264;n265;n266;n267;g_7,n1;n2;n3;n4;n5;n344;n345;n346;n347;n348;n349;n350;n351;n352;n353;n354;n355;g_7,n1;n453;n252;n199;n198;n277;n278;n279;n280;n281;n282;n283;n284;n285;n286;n287;n288;n289;g_7,n1;n453;n13;n14;n15;n16;n17;n18;n19;n20;n25;n26;n27;n28;n29;n30;g_7
8,g_8,GCF_024498735.1_ASM2449873v1,GCF_024498735.1,GCF_024498735.1,ASM2449873v1,P. aroidearum,corrected,QJ315,NA,NA,China,Asia,Amorphophallus konjac,NA,2019,NA,NA,NA,NCBI,NA,pure culture,4865541,4865541,1,1,n1;n2;n3;n4;n343;n344;n345;n346;n347;n348;n349;n350;n351;g_8,n1;n453;n180;n179;n258;n259;n260;n261;n262;n263;n264;n265;n266;g_8,n1;n2;n3;n4;n5;n344;n345;n346;n347;n348;n349;n350;n351;n352;n353;n354;g_8,n1;n453;n252;n199;n198;n277;n278;n279;n280;n281;n282;n283;n284;n285;n286;n287;n288;g_8,n1;n453;n13;n14;n15;n16;n17;n18;n19;n20;n25;n26;n27;n28;n29;g_8
9,g_9,GCF_024498715.1_ASM2449871v1,GCF_024498715.1,GCF_024498715.1,ASM2449871v1,P. aroidearum,corrected,AK042,NA,NA,China,Asia,Amorphophallus konjac,NA,2019,NA,NA,NA,NCBI,NA,pure culture,5019255,5019255,1,1,n1;n2;n3;n4;n343;n344;n345;n346;n347;n348;n354;n355;g_9,n1;n453;n180;n179;n258;n259;n260;n261;n262;n263;n269;n270;g_9,n1;n2;n3;n4;n5;n344;n345;n346;n347;n348;n349;n350;n351;n356;g_9,n1;n453;n252;n199;n198;n277;n278;n279;n280;n281;n282;n283;n290;g_9,n1;n453;n13;n14;n15;n16;n17;n18;n19;n20;n25;n26;n34;n35;g_9
10,g_10,GCF_024498675.1_ASM2449867v1,GCF_024498675.1,GCF_024498675.1,ASM2449867v1,P. aroidearum,corrected,AK049,NA,NA,China,Asia,Amorphophallus konjac,NA,2019,NA,NA,NA,NCBI,NA,pure culture,5019088,5019088,1,1,n1;n2;n3;n4;n343;n344;n345;n346;n347;n348;n354;n355;g_10,n1;n453;n180;n179;n258;n259;n260;n261;n262;n263;n269;n270;g_10,n1;n2;n3;n4;n5;n344;n345;n346;n347;n348;n349;n350;n351;n356;g_10,n1;n453;n252;n199;n198;n277;n278;n279;n280;n281;n282;n283;n290;g_10,n1;n453;n13;n14;n15;n16;n17;n18;n19;n20;n25;n26;n34;n35;g_10
