sampleId	sampleName	source	AssemblyAccession	AssemblyName	SpeciesName	taxonomy_corrected	SpeciesTaxid	Organism	AssemblyStatus	AssemblyType	BioSampleAccn	strain	geo_loc_name	geo_loc_country	collection_year	collection_date	host	isolation_source	env_broad_scale	env_local_scale	env_medium	length	GC_per	n_contigs	N50	N90	L50	L90	auN	N_per_100kb	contigs_gt_0kb	contigs_gt_1kb	contigs_gt_5kb	contigs_gt_10kb	contigs_gt_25kb	contigs_gt_50kb	length_gt_0kb	length_gt_1kb	length_gt_5kb	length_gt_10kb	length_gt_25kb	length_gt_50kb	largest_contig	buscog.complete	buscog.complete_single_copy	buscog.complete_duplicated	buscog.fragmented	buscog.missing	buscog.total	buscop.complete	buscop.complete_single_copy	buscop.complete_duplicated	buscop.fragmented	buscop.missing	buscop.total	submission_y	SubmissionDate	SubmitterOrganization	FtpPath_RefSeq	FtpPath_GenBank	Id	taxonomy_check_status	taxonomy_check_method	representative_status	ExclFromRefSeq	Anomalous	replaced	synonym_GB	synonym_RS	synonym_similarity	sample_type	collected_by	lat_lon	num_replicons	biomaterial_provider	isol_growth_condt	ref_biomaterial	sample_name	sub_species	project_name	culture_collection	ena_first_public	ena_last_update	external_id	insdc_center_alias	insdc_center_name	insdc_first_public	insdc_last_update	insdc_status	submitter_id	ena_checklist	depth	host_tissue_sampled	altitude	investigation_type	sequencing_method	type_material	geographic_location_latitude	geographic_location_longitude	temp	geographic_location_depth	locus_tag_prefix	water_environmental_package	identified_by	plant_associated_environmental_package	biotic_relationship	rel_to_oxygen	habitat	cell_shape	disease	environmental_sample	gold_stamp_id	gram_staining	host_taxid	motility	note	oxygen_requirement	pathogenicity	phenotypes	samp_collect_device	samp_mat_process	samp_size	serotype	sporulation	target_gene	target_subfragment	temperature_range	assembly_method	broker_name	check_list_type	climate_environment	estimated_size	gcat_id	genome_coverage	geographic_location_elevation	health_state	health_status_of_host	host_age	host_height	host_infra_specific_name	host_infra_specific_rank	host_life_stage	latitude	longitude	oxy_stat_samp	plant_body_site	reference_guided_assembly	relevant_e_resources	samp_store_dur	samp_store_temp	season_environment	sequencing_technology	soil_environmental_package	source_material_id	subsrc_note	tax_id	trophic_level	symptom_per_2019	symptom_per_2020	symptom_per_2021	virulence.old	virulence	virulence_pcr
GCF_024506455.1_ASM2450645v1	GCF_024506455.1	NCBI	GCF_024506455.1	ASM2450645v1	Pectobacterium carotovorum	FALSE	554	Pectobacterium carotovorum (enterobacteria)	Contig	haploid	SAMN29993934	21TX0081	USA: Texas	United States	2021	2021-05-10	NA	Onion	NA	NA	NA	4826772	51.95	25	493670	153360	4	11	456059.5	0.33	47	20	17	17	17	14	4832424	4823492	4816107	4816107	4816107	4686350	805119	99.545	99.091	0.455	0.227	0.227	440	99.318	98.864	0.455	0.227	0.455	440	2022	2022-08-02T00:00:00Z	Texas A & M University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/506/455/GCF_024506455.1_ASM2450645v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/506/455/GCA_024506455.1_ASM2450645v1	13417811	OK	NCBI_ANI	NA	NA	NA	NA	GCA_024506455.1	GCF_024506455.1	identical	NA	Manzeal Khanal	29.2097 N 99.7862 W	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_024498875.1_ASM2449887v1	GCF_024498875.1	NCBI	GCF_024498875.1	ASM2449887v1	Pectobacterium aroidearum	FALSE	1201031	Pectobacterium aroidearum (enterobacteria)	Complete Genome	haploid	SAMN24698379	QJ002	China:Qujing	China	2020	2020-10-01	Amorphophallus konjac	NA	NA	NA	NA	4975218	51.86	1	4975218	4975218	1	1	4975218	0	1	1	1	1	1	1	4975218	4975218	4975218	4975218	4975218	4975218	4975218	99.545	99.091	0.455	0.227	0.227	440	99.545	99.091	0.455	0.227	0.227	440	2022	2022-08-01T00:00:00Z	Qujing Normal University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/498/875/GCF_024498875.1_ASM2449887v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/875/GCA_024498875.1_ASM2449887v1	13406341	OK	inhouse_fastANI	NA	NA	NA	NA	GCA_024498875.1	GCF_024498875.1	identical	pure culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_024498855.1_ASM2449885v1	GCF_024498855.1	NCBI	GCF_024498855.1	ASM2449885v1	Pectobacterium aroidearum	FALSE	1201031	Pectobacterium aroidearum (enterobacteria)	Complete Genome	haploid	SAMN24698380	QJ003	China:Qujing	China	2020	2020-10-01	Amorphophallus konjac	NA	NA	NA	NA	5057072	51.88	1	5057072	5057072	1	1	5057072	0	1	1	1	1	1	1	5057072	5057072	5057072	5057072	5057072	5057072	5057072	99.545	99.091	0.455	0.227	0.227	440	99.545	99.091	0.455	0.227	0.227	440	2022	2022-08-01T00:00:00Z	Qujing Normal University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/498/855/GCF_024498855.1_ASM2449885v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/855/GCA_024498855.1_ASM2449885v1	13406311	OK	inhouse_fastANI	NA	NA	NA	NA	GCA_024498855.1	GCF_024498855.1	identical	pure culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_024498835.1_ASM2449883v1	GCF_024498835.1	NCBI	GCF_024498835.1	ASM2449883v1	Pectobacterium aroidearum	FALSE	1201031	Pectobacterium aroidearum (enterobacteria)	Complete Genome	haploid	SAMN24698381	QJ011	China:Qujing	China	2020	2020-10-01	Amorphophallus konjac	NA	NA	NA	NA	5044175	51.87	1	5044175	5044175	1	1	5044175	0	1	1	1	1	1	1	5044175	5044175	5044175	5044175	5044175	5044175	5044175	99.545	99.091	0.455	0.227	0.227	440	99.545	99.091	0.455	0.227	0.227	440	2022	2022-08-01T00:00:00Z	Qujing Normal University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/498/835/GCF_024498835.1_ASM2449883v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/835/GCA_024498835.1_ASM2449883v1	13406281	OK	inhouse_fastANI	NA	NA	NA	NA	GCA_024498835.1	GCF_024498835.1	identical	pure culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_024498815.1_ASM2449881v1	GCF_024498815.1	NCBI	GCF_024498815.1	ASM2449881v1	Pectobacterium aroidearum	FALSE	1201031	Pectobacterium aroidearum (enterobacteria)	Complete Genome	haploid	SAMN24698382	QJ034	China:Qujing	China	2019	2019-10-01	Amorphophallus konjac	NA	NA	NA	NA	4889365	51.63	1	4889365	4889365	1	1	4889365	0	1	1	1	1	1	1	4889365	4889365	4889365	4889365	4889365	4889365	4889365	99.545	99.318	0.227	0.227	0.227	440	99.545	99.318	0.227	0.227	0.227	440	2022	2022-08-01T00:00:00Z	Qujing Normal University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/498/815/GCF_024498815.1_ASM2449881v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/815/GCA_024498815.1_ASM2449881v1	13406241	OK	inhouse_fastANI	NA	NA	NA	NA	GCA_024498815.1	GCF_024498815.1	identical	pure culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_024498795.1_ASM2449879v1	GCF_024498795.1	NCBI	GCF_024498795.1	ASM2449879v1	Pectobacterium aroidearum	FALSE	1201031	Pectobacterium aroidearum (enterobacteria)	Complete Genome	haploid	SAMN24698383	QJ036	China:Qujing	China	2019	2019-10-01	Amorphophallus konjac	NA	NA	NA	NA	4889381	51.63	1	4889381	4889381	1	1	4889381	0	1	1	1	1	1	1	4889381	4889381	4889381	4889381	4889381	4889381	4889381	99.545	99.318	0.227	0.227	0.227	440	99.545	99.318	0.227	0.227	0.227	440	2022	2022-08-01T00:00:00Z	Qujing Normal University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/498/795/GCF_024498795.1_ASM2449879v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/795/GCA_024498795.1_ASM2449879v1	13406211	Inconclusive	NCBI_ANI	NA	NA	NA	NA	GCA_024498795.1	GCF_024498795.1	identical	pure culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_024498775.1_ASM2449877v1	GCF_024498775.1	NCBI	GCF_024498775.1	ASM2449877v1	Pectobacterium aroidearum	FALSE	1201031	Pectobacterium aroidearum (enterobacteria)	Complete Genome	haploid	SAMN24698384	QJ311	China:Qujing	China	2019	2019-10-01	Amorphophallus konjac	NA	NA	NA	NA	4907098	51.87	1	4907098	4907098	1	1	4907098	0	1	1	1	1	1	1	4907098	4907098	4907098	4907098	4907098	4907098	4907098	99.545	99.091	0.455	0.227	0.227	440	99.545	99.091	0.455	0.227	0.227	440	2022	2022-08-01T00:00:00Z	Qujing Normal University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/498/775/GCF_024498775.1_ASM2449877v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/775/GCA_024498775.1_ASM2449877v1	13406171	OK	inhouse_fastANI	NA	NA	NA	NA	GCA_024498775.1	GCF_024498775.1	identical	pure culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_024498755.1_ASM2449875v1	GCF_024498755.1	NCBI	GCF_024498755.1	ASM2449875v1	Pectobacterium aroidearum	FALSE	1201031	Pectobacterium aroidearum (enterobacteria)	Complete Genome	haploid	SAMN24698385	QJ313	China:Qujing	China	2019	2019-10-01	Amorphophallus konjac	NA	NA	NA	NA	4889381	51.63	1	4889381	4889381	1	1	4889381	0	1	1	1	1	1	1	4889381	4889381	4889381	4889381	4889381	4889381	4889381	99.545	99.318	0.227	0.227	0.227	440	99.545	99.318	0.227	0.227	0.227	440	2022	2022-08-01T00:00:00Z	Qujing Normal University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/498/755/GCF_024498755.1_ASM2449875v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/755/GCA_024498755.1_ASM2449875v1	13406131	OK	inhouse_fastANI	NA	NA	NA	NA	GCA_024498755.1	GCF_024498755.1	identical	pure culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_024498735.1_ASM2449873v1	GCF_024498735.1	NCBI	GCF_024498735.1	ASM2449873v1	Pectobacterium aroidearum	FALSE	1201031	Pectobacterium aroidearum (enterobacteria)	Complete Genome	haploid	SAMN24698386	QJ315	China:Qujing	China	2019	2019-10-01	Amorphophallus konjac	NA	NA	NA	NA	4865541	51.69	1	4865541	4865541	1	1	4865541	0	1	1	1	1	1	1	4865541	4865541	4865541	4865541	4865541	4865541	4865541	99.545	99.318	0.227	0.227	0.227	440	99.545	99.318	0.227	0.227	0.227	440	2022	2022-08-01T00:00:00Z	Qujing Normal University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/498/735/GCF_024498735.1_ASM2449873v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/735/GCA_024498735.1_ASM2449873v1	13406101	OK	inhouse_fastANI	NA	NA	NA	NA	GCA_024498735.1	GCF_024498735.1	identical	pure culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCF_024498715.1_ASM2449871v1	GCF_024498715.1	NCBI	GCF_024498715.1	ASM2449871v1	Pectobacterium aroidearum	FALSE	1201031	Pectobacterium aroidearum (enterobacteria)	Complete Genome	haploid	SAMN24698388	AK042	China:Ankang	China	2019	2019-12-01	Amorphophallus konjac	NA	NA	NA	NA	5019255	51.64	1	5019255	5019255	1	1	5019255	0	1	1	1	1	1	1	5019255	5019255	5019255	5019255	5019255	5019255	5019255	99.545	99.091	0.455	0.227	0.227	440	99.545	99.091	0.455	0.227	0.227	440	2022	2022-08-01T00:00:00Z	Qujing Normal University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/498/715/GCF_024498715.1_ASM2449871v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/498/715/GCA_024498715.1_ASM2449871v1	13406061	OK	inhouse_fastANI	NA	NA	NA	NA	GCA_024498715.1	GCF_024498715.1	identical	pure culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
