Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Assembly Name	Assembly Accession	Annotation Name	Annotation BUSCO Complete 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Lineage 	Annotation BUSCO Missing 	Annotation BUSCO Single Copy 	Annotation BUSCO Total Count 	Annotation BUSCO Version 	Assembly Submitter	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	Assembly Stats Contig N50	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Assembly BioSample Accession	Assembly BioProject Lineage Accession	Assembly BioProject Lineage Parent Accession	Assembly BioProject Lineage Parent Accessions	Assembly BioProject Lineage Title
Pectobacterium actinidiae		KKH3				ASM80331v1	GCF_000803315.1	From INSDC submitter									National Academy of Agricultural Science	4922167	Contig	2014-12-18	4068673	4315	4153	SAMN02849387	PRJNA252053			Pectobacterium actinidiae strain:KKH3 Genome sequencing and assembly
Pectobacterium actinidiae		ICMP 19972				ASM198452v1	GCF_001984525.1	From INSDC submitter									Plant & Food Research	4886946	Scaffold	2017-02-03	143499	4367	4196	SAMN06049671	PRJNA354645			Pectobacterium actinidiae strain:ICMP 19972 Genome sequencing and assembly
Pectobacterium actinidiae		ICMP 19971				ASM198453v1	GCF_001984535.1	From INSDC submitter									Scion	4891911	Scaffold	2017-02-03	81179	4336	4142	SAMN06049670	PRJNA354644			Pectobacterium actinidiae strain:ICMP 19971 Genome sequencing and assembly
Pectobacterium actinidiae		KKH3				ASM80331v1	GCA_000803315.1	From INSDC submitter									National Academy of Agricultural Science	4922167	Contig	2014-12-18	4068673	4570	4476	SAMN02849387	PRJNA252053			Pectobacterium actinidiae strain:KKH3 Genome sequencing and assembly
Pectobacterium actinidiae		ICMP 19972				ASM198452v1	GCA_001984525.1	From INSDC submitter									Plant & Food Research	4886946	Scaffold	2017-02-03	143499	4285	4133	SAMN06049671	PRJNA354645			Pectobacterium actinidiae strain:ICMP 19972 Genome sequencing and assembly
Pectobacterium actinidiae		ICMP 19971				ASM198453v1	GCA_001984535.1	From INSDC submitter									Scion	4891911	Scaffold	2017-02-03	81179	4269	4087	SAMN06049670	PRJNA354644			Pectobacterium actinidiae strain:ICMP 19971 Genome sequencing and assembly
Pectobacterium aquaticum		A212-S19-A16				ASM338256v1	GCF_003382565.1	From INSDC submitter									Sorbonne University	4348076	Scaffold	2018-08-13	70814	4132	3837	SAMN09259578	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A212-S19-A16				ASM338256v2	GCF_003382565.2	From INSDC submitter									Sorbonne University	4348076	Scaffold	2018-12-10	70814	4052	3834	SAMN09259578	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A105-S21-F16				ASM338258v1	GCF_003382585.1	From INSDC submitter									Sorbonne University	4310812	Scaffold	2018-08-13	103487	4058	3738	SAMN09259576	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
Pectobacterium aquaticum		A105-S21-F16				ASM338258v2	GCF_003382585.2	From INSDC submitter									Sorbonne University	4310812	Scaffold	2018-12-10	103487	3999	3805	SAMN09259576	PRJNA473080			Draft genome sequences of proposed Pectobacterium aquaticum sp. nov. isolated in France from fresh water
